cost_center;project_name
60160417;PLUTO Design
80160353;BMW Motorrad
80160282;IFCM
80000000;BA Allgemein
80010000;BA oL
10650228;Bibliothek
60160429;CAQ MDM
80160335;Marktradar
60160428;CAQ MDM
60160427;CAQ MDM
60160411;ItO-12 Transition
60130393;PLUTO Design
80170399;Finance FR-22
80500000;BA Vertrieb
60160421;CAQ MDM
60160426;CAQ MDM
80060000;BA Interner Wissensaufbau
80400000;BA Personal
80600000;BA Zentrale
80260000;CoC BA
60160422;DevOps PM
60160420;CAQ MDM
60200402;CoC PM
80160450;Sales Report
90200440;Quantencomputing
60160445;Grenzlagenabsicherung
60500000;PSO Vertrieb
